"CONTRACT_NUMBER","APP_ID","IMAGEINDEX","VOLUMEID","SITEID","FILETYPE"
"20200809-5916758","46846521","87933450","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200811-2926014","46902344","88176081","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200812-8931417","46939644","88331299","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200813-0939854","46995173","88566926","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190125-8954428","28131897","25547314","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190214-4952728","28597682","26319262","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190316-2975085","29456902","27623376","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190407-7942397","30141916","28832991","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190506-4950210","31083010","31406283","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190606-5975822","32299811","28728778","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20190610-2918443","32448981","35633876","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190627-7925767","33211350","38074695","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190703-8985622","33411523","38765029","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190707-2927044","33573562","39261642","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190720-6968136","34129551","40997565","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20190815-6900409","35131290","29676540","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20191005-7944844","36607631","30178437","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20191010-4980564","36758161","49710587","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191011-8987711","36789121","30230003","7","6",GIẤY ĐĂNG KÝ XE.pdf
"20191024-6979903","37164949","51194961","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191109-3986256","37629470","52798705","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191112-7903093","37707951","53031746","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191117-6939975","37886150","53615778","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191119-4956804","37957744","53850452","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191123-3980766","38081988","54239481","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191128-8918622","38253405","54844704","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191201-1938407","38340529","55218605","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191201-3940910","38348332","55248772","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191206-2970425","38518024","55755336","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191206-9970541","38518696","55757881","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191209-6992413","38614803","56106784","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20191211-4906219","38687345","9440086","6","5",GIẤY ĐĂNG KÝ XE.pdf
"20200816-9955975","47088865","88995815","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200818-0965452","47144071","89250991","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200818-9969918","47175174","89400779","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200819-5973697","47202268","89529812","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200819-9972269","47191558","89476204","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200823-2992632","47326986","90128905","8","7",GIẤY ĐĂNG KÝ XE.pdf
"20200829-4924673","47514419","91031878","8","7",GIẤY ĐĂNG KÝ XE.pdf
